,V,GraphT,DLoopT,BellmanT,FloydT,BestT,MinEdCT,MaxEdCT,MinEdWT,MaxEdWT,MiECnMaIn,MaECnMaIn,MiEdWeNeWe,MaEdWeNeWe,MinCoefT,MaxCoefT,MinEigT,MaxEigT,MinEcce,MaxEcce,MinKCore,MaxKCore,MinTria,MaxTria,MinTwoHop,MaxTwoHop,EdgeCnt,Perm,pSkip
4,128,1.5952,54.5414,8.4991,1.7286,0.0000,17.6341,17.7929,17.9437,17.7237,17.0195,17.2478,18.6465,18.7909,46.1509,46.0099,18.2704,142.6715,0.0000,0.0000,16.6109,16.4610,20.1413,20.4123,19.7591,19.7780,4041.0000,0.0000,0.0000,
27,128,1.4851,54.5733,8.5098,1.7253,0.0000,17.8836,18.0136,18.0713,18.1809,17.1543,17.0301,18.9655,19.2021,47.0875,47.1880,18.3628,142.1681,0.0000,0.0000,16.5557,16.6873,20.5479,20.7164,19.7035,19.7741,4123.0000,0.0000,0.0000,
1,128,1.9916,58.8385,8.7239,1.7751,0.0000,18.7325,18.7024,18.7401,18.7085,18.0395,17.7834,19.9459,19.9328,50.3784,50.2867,143.1536,17.6736,0.0000,0.0000,17.4117,17.3566,21.5809,21.7825,20.9831,20.9403,4320.0000,0.0000,0.0000,
44,128,1.5862,57.0029,9.0627,1.6664,0.0000,19.0551,18.8922,18.8689,19.0214,18.1833,18.1859,20.2719,20.1288,51.5663,51.6424,142.8445,17.8466,0.0000,0.0000,17.4341,17.4158,22.0311,22.0434,20.8295,21.0165,4406.0000,0.0000,0.0000,
9,128,2.0177,62.1330,9.4574,1.7143,0.0000,19.7520,19.9452,19.8482,19.9461,18.9128,19.0381,21.1154,21.2428,56.6873,179.9944,18.4889,18.4097,0.0000,0.0000,18.3447,18.3486,23.2077,23.3263,22.4737,22.5832,4757.0000,0.0000,0.0000,
47,128,1.8052,63.3873,9.5088,1.7153,0.0000,19.9325,19.9667,20.0420,19.8196,19.3209,19.1863,21.3244,21.3734,56.2203,178.9654,18.2507,18.4418,0.0000,0.0000,18.3211,18.1458,23.2766,23.2306,22.3415,22.3290,4711.0000,0.0000,0.0000,
60,128,1.1201,47.2020,7.4049,1.7955,0.0000,16.0901,16.1939,16.2019,16.1677,15.3686,15.1146,16.7470,16.9283,159.4662,34.1131,15.4185,15.2032,0.0000,0.0000,15.0965,15.1219,17.8253,17.9475,17.4281,17.4327,3368.0000,0.0000,0.0000,
15,128,2.0667,66.0011,9.5893,1.7024,0.0000,20.3226,20.0851,20.3311,20.4278,19.4985,19.4649,21.7942,21.6203,58.4315,180.2216,18.9245,18.8961,0.0000,0.0000,18.6050,18.4952,23.7832,23.6915,22.6935,22.7487,4851.0000,0.0000,0.0000,
32,128,1.8953,66.5549,9.5149,1.7010,0.0000,20.2498,20.2502,20.1044,20.3353,19.5915,18.8067,21.3383,21.4077,58.3373,180.4006,18.8315,18.8489,0.0000,0.0000,18.5789,18.4781,23.8354,23.8289,23.0571,23.1642,4859.0000,0.0000,0.0000,
24,128,2.2476,69.1957,10.3109,1.6689,0.0000,21.4072,21.1877,21.3983,21.3250,20.2580,20.5044,23.0593,22.9465,63.4540,182.3751,19.7037,19.6612,0.0000,0.0000,19.2014,19.1947,24.9908,24.8398,24.1877,24.2150,5218.0000,0.0000,0.0000,
58,128,1.4701,57.1934,8.6699,1.7212,0.0000,18.2890,18.1237,18.4815,18.5772,17.3922,17.2400,19.3999,19.2175,169.7678,44.0847,17.1700,17.3211,0.0000,0.0000,17.0719,16.9036,21.0084,20.9236,20.4984,20.4287,4203.0000,0.0000,0.0000,
57,128,1.5690,59.4697,9.1605,1.7550,0.0000,19.0552,19.2296,19.0462,19.3333,18.0975,18.1104,20.4416,20.4058,174.2068,47.4636,17.9925,17.9583,0.0000,0.0000,17.5043,17.7172,22.1334,22.2997,21.7135,21.4718,4475.0000,0.0000,0.0000,
73,128,0.6054,153.4002,5.4085,1.8551,0.0000,11.1811,11.4396,11.3315,11.3049,10.2920,10.0856,11.5610,11.7391,17.8755,17.7496,11.5286,11.5553,0.0000,0.0000,11.4403,11.4469,12.3894,12.6501,12.3941,12.4255,1979.0000,0.0000,0.0000,
7,128,2.3920,77.2794,10.6741,1.6477,0.0000,22.2475,22.0089,22.1612,22.3528,21.2430,21.2645,24.0064,24.0172,192.9290,60.4561,20.4020,20.4182,0.0000,0.0000,20.0888,19.9521,26.1165,26.0541,25.5944,25.3661,5509.0000,0.0000,0.0000,
86,128,0.2954,16.4025,4.4708,1.7588,0.0000,8.5651,8.7613,8.7804,8.7083,7.5383,7.5551,8.5995,8.9099,10.2194,10.2209,8.7796,8.9484,0.0000,0.0000,8.7770,8.8026,8.7682,9.0980,9.0447,9.2233,985.0000,0.0000,0.0000,
21,128,2.3809,79.0157,11.4870,1.6607,0.0000,22.8469,22.7749,22.6172,22.7386,21.8701,21.9769,24.7538,24.6755,194.4872,63.1634,20.8246,20.8163,0.0000,0.0000,20.3196,20.3589,26.6100,26.7784,26.4037,26.4436,5705.0000,0.0000,0.0000,
16,128,2.6144,81.0371,11.1118,1.6467,0.0000,22.8591,22.6350,22.8609,22.9911,22.0484,21.7866,24.7484,24.6527,194.7729,63.0991,20.7813,20.7075,0.0000,0.0000,20.4705,20.3052,26.6776,26.5169,26.1288,26.2162,5708.0000,0.0000,0.0000,
20,128,2.4864,78.6216,11.9863,1.6731,0.0000,22.7314,22.8599,22.8832,23.2309,21.7601,21.9795,24.7341,25.0024,196.1790,63.6877,21.0342,21.0483,0.0000,0.0000,20.6296,20.5528,26.6713,26.9118,26.2489,26.3103,5751.0000,0.0000,0.0000,
6,128,2.7717,80.7314,12.1435,1.6609,0.0000,23.0083,22.9361,23.0992,23.1677,22.2682,22.4512,25.2350,25.3163,195.8754,64.9276,21.0037,20.9656,0.0000,0.0000,20.8369,20.7306,26.8548,27.0743,26.4438,26.5699,5781.0000,0.0000,0.0000,
88,128,0.3796,19.1151,4.7133,1.8486,0.0000,9.5848,9.6246,9.6334,9.5718,8.4968,8.4994,9.8001,9.7882,11.9761,11.7115,9.7865,9.7751,0.0000,0.0000,9.5953,9.6032,10.1328,10.0312,10.1949,10.2800,1241.0000,0.0000,0.0000,
5,128,2.8783,79.2471,11.9288,1.6528,0.0000,23.2026,23.3872,23.5048,23.5092,22.2312,22.3962,25.3549,25.5271,197.9618,66.7083,21.3811,21.7153,0.0000,0.0000,21.2455,21.1895,27.6494,27.6123,27.1978,27.4714,5867.0000,0.0000,0.0000,
74,128,0.8322,159.3646,6.2625,1.8547,0.0000,13.1453,13.2666,13.3099,13.3274,11.9914,12.0796,13.6870,13.7150,23.8729,23.9373,13.3537,13.4945,0.0000,0.0000,13.1189,13.3281,15.4803,15.4303,14.7927,14.7915,2639.0000,0.0000,0.0000,
