,V,GraphT,DLoopT,BellmanT,FloydT,BestT,MinEdCT,MaxEdCT,MinEdWT,MaxEdWT,MiECnMaIn,MaECnMaIn,MiEdWeNeWe,MaEdWeNeWe,MinCoefT,MaxCoefT,MinEigT,MaxEigT,MinEcce,MaxEcce,MinKCore,MaxKCore,MinTria,MaxTria,MinTwoHop,MaxTwoHop,EdgeCnt,Perm,pSkip
7,64,0.0674,2.2172,0.4052,0.1826,0.0000,0.8135,1.3314,1.3127,1.4419,16.6537,10.9210,1.1949,1.2221,1.2499,1.2349,1.0414,1.2422,0.0000,0.0000,1.0251,1.2336,3.9211,3.3273,1.1292,1.2393,123.0000,0.0000,0.0000,
21,64,0.0670,2.0925,0.4747,0.2041,0.0000,1.0347,1.3209,1.3468,1.3801,17.1147,10.0061,1.2457,1.2187,1.2646,1.2548,1.0638,1.2301,0.0000,0.0000,1.0843,1.2529,3.6404,3.4307,1.0976,1.2460,127.0000,0.0000,0.0000,
3,64,0.0674,1.8194,0.4116,0.1868,0.0000,0.9112,1.1971,1.2222,1.3095,18.4715,10.8085,1.0532,1.1701,1.1853,1.2104,1.0945,1.2184,0.0000,0.0000,1.1385,1.2013,3.6661,3.5204,1.0564,1.2200,121.0000,0.0000,0.0000,
40,64,0.0666,1.5543,0.4569,0.1933,0.0000,1.0104,1.2120,1.3194,1.4446,17.4459,9.5017,0.9566,1.1603,1.1844,1.1796,1.0349,1.2103,0.0000,0.0000,1.1054,1.1840,3.6213,3.5087,1.0498,1.1832,122.0000,0.0000,0.0000,
36,64,0.0565,1.6840,0.4428,0.1893,0.0000,0.9626,1.2928,1.4543,1.4532,17.3376,9.8209,1.0768,1.2152,1.2564,1.2448,1.1330,1.2533,0.0000,0.0000,1.1430,1.2491,3.4353,3.4494,1.2195,1.2912,133.0000,0.0000,0.0000,
34,64,0.0634,1.6607,0.4420,0.1847,0.0000,1.1177,1.2322,1.3431,1.4341,17.8384,9.3502,1.0708,1.1915,1.2452,1.1904,1.1004,1.2411,0.0000,0.0000,1.0903,1.2316,3.2617,3.5157,1.2313,1.2696,137.0000,0.0000,0.0000,
30,64,0.0614,1.6681,0.4438,0.1919,0.0000,1.1646,1.4001,1.4764,1.4953,17.6450,9.2696,1.2005,1.2333,1.2999,1.2768,1.1382,1.2963,0.0000,0.0000,1.1693,1.3123,3.2048,3.4581,1.2551,1.3331,140.0000,0.0000,0.0000,
5,64,0.1081,2.2972,0.4901,0.2019,0.0000,1.2435,1.4446,1.4443,1.6060,17.8184,10.0596,1.2128,1.3691,1.4568,1.4168,1.2001,1.4295,0.0000,0.0000,1.3440,1.4832,2.6547,3.1380,1.1450,1.4388,155.0000,0.0000,0.0000,
19,64,0.0651,1.9327,0.4478,0.1846,0.0000,1.0060,1.3713,1.3439,1.4821,17.5881,10.1947,1.0587,1.2545,1.3255,1.2940,1.0789,1.2882,0.0000,0.0000,1.1639,1.3059,3.2590,3.5674,2.2163,1.4040,140.0000,0.0000,0.0000,
46,64,0.0587,1.3379,0.4826,0.1862,0.0000,0.9019,1.1921,1.1463,1.1111,2.4551,1.7926,0.8048,0.9344,0.8604,0.9221,1.2827,13.8815,0.0000,0.0000,0.8868,0.9437,1.1061,1.2794,0.8650,0.9887,85.0000,0.0000,0.0000,
